Robject;LMM;STATO_SIMPLE;STATO;STATO_full;comment
hasOutput;;stato:has_specified_output ;obo:OBI_0000299;http://purl.obolibrary.org/obo/OBI_0000299#has_specified_output;
dependentVariable;;stato:study_design_dependent_variable;obo:OBI_0000751;http://purl.obolibrary.org/obo/OBI_0000751#studyDesignDependentVariable;
independentVariable;;stato:study_design_independent_variable;obo:OBI_0000750;http://purl.obolibrary.org/obo/OBI_0000750#studyDesignDependentVariable;
SatterthwaiteApprox;;stato:Satterthwaite_degree_of_freedom_approximation;obo:STATO_0000474;http://purl.obolibrary.org/obo/STATO_0000474#SatterthwaiteDfApprox;
KenwardRogerApprox;;stato:kenward-roger_degree_of_freedom_approximation;obo:STATO_0000473;http://purl.obolibrary.org/obo/STATO_0000473#KenwardRogerDfApprox;
isModelFor;isModelFor;stato:is_model_for;<http://purl.obolibrary.org/obo/stato.owl#is_model_for> ;http://purl.obolibrary.org/obo/stato.owl#is_model_for;
hasOrder;hasOrderInSequence;stato:has_order;<http://purl.obolibrary.org/obo/stato.owl#has_order> ;http://purl.obolibrary.org/obo/STATO_0000382#has_order;
isFunctionOf;;xxx:is_function_of;xxx:is_function_of;xxx:is_function_of;https://github.com/ISA-tools/stato/issues/76
ParametricFunction;;xxx:parametric_function;xxx:parametric_function;xxx:parametric_function;https://github.com/ISA-tools/stato/issues/76
Contrast;;stato:contrast;obo:STATO_0000290;http://purl.obolibrary.org/obo/STATO_0000290#Contrast;
TreatmentContrast;;stato:treatment_contrast;obo:STATO_0000307;http://purl.obolibrary.org/obo/STATO_0000307#TreatmentContrast;
ContrastEstimate;;stato:contrast_estimate;obo:STATO_0000384;http://purl.obolibrary.org/obo/STATO_0000384#ContrastEstimate;
EMM;;lmm:emm;lmm:marginal_mean;http://igr.poznan.pl/lmm#marginal_mean;
Variance;;stato:variance;obo:STATO_0000113;http://purl.obolibrary.org/obo/STATO_0000113#variance;
VarianceParameter;;;lmm:variance_parameter;http://igr.poznan.pl/lmm#variance_parameter;https://github.com/ISA-tools/stato/issues/70
VarianceComponentEstimate;;;<http://purl.obolibrary.org/obo/stato.owl#variance_component_estimate> ;<http://purl.obolibrary.org/obo/stato.owl#variance_component_estimate> ;
ConfidenceIntervalCalculation;;stato:confidence_interval_calculation;obo:STATO_0000175;http://purl.obolibrary.org/obo/STATO_0000175#confidence interval calculation;
lowerConfidenceLimit;;stato:lower_confidence_limit;obo:STATO_0000315;http://purl.obolibrary.org/obo/STATO_0000314#lower confidence limit;
upperConfidenceLimit;;stato:upper_confidence_limit;obo:STATO_0000314;http://purl.obolibrary.org/obo/STATO_0000314#upper confidence limit;
confidenceLevel;;stato:confidence_level;obo:STATO_0000561;http://purl.obolibrary.org/obo/STATO_0000561#confidence level;
confidenceInterval;;stato:confidence_interval;obo:STATO_0000196;http://purl.obolibrary.org/obo/STATO_0000196#confidence interval;
BLUE;;stato:BLUE;<http://purl.obolibrary.org/obo/stato.owl#best_linear_unbiaised_estimator> ;<http://purl.obolibrary.org/obo/stato.owl#best_linear_unbiaised_estimator> ;typo in STATO!!!
BLUP;;stato:BLUP;<http://purl.obolibrary.org/obo/stato.owl#best_linear_unbiased_predictor> ;<http://purl.obolibrary.org/obo/stato.owl#best_linear_unbiased_predictor> ;
StudyDesign;;stato:study_design;obo:OBI_0500000;http://purl.obolibrary.org/obo/STATO_0000196#confidence interval;
DesignMatrix;;stato:design_matrix;obo:STATO_0000289;http://purl.obolibrary.org/obo/STATO_0000289#design_matrix;
denotes;;stato:denotes;obo:IAO_0000219;http://purl.obolibrary.org/obo/IAO_0000219#denotes;
REML;;stato:restricted_maximum_likelihood_estimation;obo:STATO_0000427;http://purl.obolibrary.org/obo/STATO_0000427#REML;
ValueSpecification;;stato:value_specification;obo:OBI_0001933;http://purl.obolibrary.org/obo/OBI_0001933#value_specification;
