R_LABEL;LMM_ELEMENT_DESCRIPTION;ONTOLOGY_LABEL;ONTOLOGY_ID;ONTOLOGY_URI;COMMENT
df_den;denominator degrees of freedom;stato:denominator_degrees_of_freedom;obo:STATO_0000527;http://purl.obolibrary.org/obo/STATO_0000527#denominatorDegreesOfFreedom;https://github.com/ISA-tools/stato/issues/71
Statistic;statistic;stato:statistic;obo:STATO_0000039;http://purl.obolibrary.org/obo/STATO_0000039#statistic;
FStatistic;F test statistic;stato:F_statistic;obo:STATO_0000282;http://purl.obolibrary.org/obo/STATO_0000282#Fstatistic;
TStatistic;T test statistic;stato:T_statistic;obo:STATO_0000176;http://purl.obolibrary.org/obo/STATO_0000176#Tstatistic;
WaldStatistic;Wald test statistic;obo:Wald_statistic;obo:STATO_0000584;http://purl.obolibrary.org/obo/STATO_0000584#Wald_statistic;https://github.com/ISA-tools/stato/issues/67
modelFitting;model fitting process;stato:model_fitting;obo:STATO_0000218;http://purl.obolibrary.org/obo/STATO_0000218#model fitting;
critREML;REML criterion measure;lmm:REML_criterion;lmm:REML_criterion;http://purl.org/stato-lmm#REML_criterion;
critAIC;AIC measure;stato:AkaikeInformationCriterion;obo:STATO_0000325;http://purl.obolibrary.org/obo/STATO_0000325#AIC;
critBIC;BIC measure;stato:BIC;obo:STATO_0000327;http://purl.obolibrary.org/obo/STATO_0000327#BIC;
modelParameterEstimation;model parameter estimation process;stato:model_parameter_estimation;obo:STATO_0000119;http://purl.obolibrary.org/obo/STATO_0000119#Model parameter estimation;
contrastEstimation;contrast estimation process;stato:contrast_estimation;obo:STATO_0000383;http://purl.obolibrary.org/obo/STATO_0000383#contrast estimation;
dfCalculation;degrees of freedom approximation process;stato:df_approximation;obo:STATO_0000472;http://purl.obolibrary.org/obo/STATO_0000472# degree of freedom approximation;https://github.com/ISA-tools/stato/issues/68
SatterthwaiteApprox;Satterthwaite df approximation process;stato:Satterthwaite_degree_of_freedom_approximation;obo:STATO_0000474;http://purl.obolibrary.org/obo/STATO_0000474#SatterthwaiteDfApprox;
KenwardRogerApprox;Kenward-Roger df approximation process;stato:kenward-roger_degree_of_freedom_approximation;obo:STATO_0000473;http://purl.obolibrary.org/obo/STATO_0000473#KenwardRogerDfApprox;
containment;containment df calculation;lmm:containment_calculation;lmm:containment_calculation;http://purl.org/stato-lmm#containment_calculation;
testing;hypothesis testing process;stato:statistical_hypothesis_test;obo:OBI_0000673;http://purl.obolibrary.org/obo/OBI_0000673#statistical hypothesis test;
Ftest;F testing process;stato:F_test;obo:STATO_0000086;http://purl.obolibrary.org/obo/STATO_0000086#Ftest;
Ttest;T testing process;stato:T_test;obo:OBI_0000739;http://purl.obolibrary.org/obo/OBI_0000739#Ttest;
WaldTest;Wald testing process;stato:Wald_test;obo:STATO_0000559;http://purl.obolibrary.org/obo/STATO_0000559#Wald_test;
testingOfTerm;term testing process;stato:statistical_model_term_testing;obo:STATO_0000558;http://purl.obolibrary.org/obo/STATO_0000558#term_testing;
hypothesis;hypothesis;stato:hypothesis;obo:STATO_0000065;http://purl.obolibrary.org/obo/STATO_0000065#hypothesis;
nullHypothesis;null hypothesis;stato:null_hypothesis;obo:STATO_0000057;http://purl.obolibrary.org/obo/STATO_0000057#null hypothesis;
Pvalue;p-value;stato:p-value;obo:OBI_0000175;http://purl.obolibrary.org/obo/OBI_0000175#p-value;
Qvalue;q-value;stato:q-value;obo:OBI_0001442;http://purl.obolibrary.org/obo/OBI_0001442#q-value;
drawingConclusions;drawing conclusions process;stato:drawing_conclusions;obo:OBI_0000338;http://purl.obolibrary.org/obo/OBI_0000338#drawing_conclusions;
hasInput;has input;stato:has_specified_input ;obo:OBI_0000293;http://purl.obolibrary.org/obo/OBI_0000293#has_specified_input;
hasOutput;has output;stato:has_specified_output ;obo:OBI_0000299;http://purl.obolibrary.org/obo/OBI_0000299#has_specified_output;
isFunctionOf;is function of;;;;https://github.com/ISA-tools/stato/issues/76
parametricFunction;parametric function;lmm:parametric_function;lmm:parametric_function;http://purl.org/stato-lmm#parametric_function;https://github.com/ISA-tools/stato/issues/76
contrast;contrast;stato:contrast;obo:STATO_0000290;http://purl.obolibrary.org/obo/STATO_0000290#Contrast;
treatmentContrast;treatment contrast;stato:treatment_contrast;obo:STATO_0000307;http://purl.obolibrary.org/obo/STATO_0000307#TreatmentContrast;
contrastEstimate;contrast estimate;stato:contrast_estimate;obo:STATO_0000384;http://purl.obolibrary.org/obo/STATO_0000384#ContrastEstimate;
EMM;estimated marginal mean;lmm:marginal_mean;lmm:marginal_mean;http://purl.org/stato-lmm#marginal_mean;
variance;variance;stato:variance;obo:STATO_0000113;http://purl.obolibrary.org/obo/STATO_0000113#variance;
varianceParameter;variance parameter;lmm:variance_parameter;lmm:variance_parameter;http://purl.org/stato-lmm#variance_parameter;https://github.com/ISA-tools/stato/issues/70
varianceComponentEstimate;;;<http://purl.obolibrary.org/obo/stato.owl#variance_component_estimate> ;http://purl.obolibrary.org/obo/stato.owl#variance_component_estimate ;"? Removed to  stato-experimental; here, variance parameter"
confidenceIntervalCalculation;confidence interval calculation process;stato:confidence_interval_calculation;obo:STATO_0000175;http://purl.obolibrary.org/obo/STATO_0000175#confidence interval calculation;
lowerConfidenceLimit;lower confidence limit;stato:lower_confidence_limit;obo:STATO_0000315;http://purl.obolibrary.org/obo/STATO_0000314#lower confidence limit;
upperConfidenceLimit;upper confidence limit;stato:upper_confidence_limit;obo:STATO_0000314;http://purl.obolibrary.org/obo/STATO_0000314#upper confidence limit;
confidenceLevel;confidence level;stato:confidence_level;obo:STATO_0000561;http://purl.obolibrary.org/obo/STATO_0000561#confidence level;
confidenceInterval;confidence interval;stato:confidence_interval;obo:STATO_0000196;http://purl.obolibrary.org/obo/STATO_0000196#confidence interval;
BLUE;best linear unbiased estimator;stato:BLUE;obo:STATO_0000582;http://purl.obolibrary.org/obo/STATO_0000582#best_linear_unbiaised_estimator;
BLUP;best linear unbiased predictor;stato:BLUP;obo:STATO_0000336;http://purl.obolibrary.org/obo/STATO_0000336#best_linear_unbiaised_predictor ;
denotes;denotes;stato:denotes;obo:IAO_0000219;http://purl.obolibrary.org/obo/IAO_0000219#denotes;
REML;restricted maximum likelihood estimation method;stato:restricted_maximum_likelihood_estimation;obo:STATO_0000427;http://purl.obolibrary.org/obo/STATO_0000427#REML;
correlation;correlation;stato:correlation_coefficient;obo:STATO_0000142;http://purl.obolibrary.org/obo/STATO_0000142#correlation_coefficient;
isDenotedBy;is denoted by;stato:is_denoted_by;obo:STATO_0000205;http://purl.obolibrary.org/obo/STATO_0000205#is_denoted_by;
isRelativeTo;is relative to;lmm:is_relative_to;lmm:is_relative_to;http://purl.org/stato-lmm#is_relative_to;
covariance;covariance;stato:covariance;obo:STATO_0000301;http://purl.obolibrary.org/obo/STATO_000030#covariance;
covarianceStructure;variance-coovariance structure model;stato:covariance_structure;obo:STATO_0000346;http://purl.obolibrary.org/obo/STATO_0000346#CovarianceStructure;
covIdentity;scaled identity covariance structure model;stato:identity_covariance_structure;obo:STATO_0000588;http://purl.obolibrary.org/obo/STATO_0000588#ScaleIdentityCovarianceStructure;https://github.com/ISA-tools/stato/issues/69
pdIdent;scaled identity covariance structure model;stato:sigma2i;obo:STATO_0000588;http://purl.obolibrary.org/obo/STATO_0000588#scaledIdntity;
pdCompSymm;compound symmetry covariance structure model;stato:cs;obo:STATO_0000362;http://purl.obolibrary.org/obo/STATO_0000362#CS;
pdDiag;diagonal covariance structure model;lmm:diagonalCS;lmm:diagonal_covariance_structure;http://purl.org/stato-lmm#diagonal_CS;
pdAR;autoregressive covariance structure model;stato:ar(1);obo:STATO_0000365;http://purl.obolibrary.org/obo/STATO_0000365#AR(1);
hasEffectOn;excerts effect on (a dependent variable);stato:has_effect_on;obo:STATO_0000344;http://purl.obolibrary.org/obo/STATO_0000344#has_effect_on;
hasFixedEffectOn;excerts fixed effect on (a dependent variable);stato:has_fixed_effect_on;obo:STATO_0000345;http://purl.obolibrary.org/obo/STATO_0000345#has_fixed_effect_on;
hasRandomEffectOn;excerts random effect on (a dependent variable);stato:has_random_effect_on;obo:STATO_0000381;http://purl.obolibrary.org/obo/STATO_0000381#has_random_effect_on;
