InfraspecificName	StudyStart	Replication	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation
GeH078	2013	1	47.64	550	0.71	49	6.4	54	14.8	22	6.16	273.1
GeH078	2013	2	46.54	420	0.61	49	5.5	54	13	22	6.16	273.1
GeH078	2013	3	49.25	500	0.66	49	5.6	56	13.3	22	6.16	273.1
GeH079	2013	1	43.52	440	0.94	49	7.2	56	21.6	22	6.16	273.1
GeH079	2013	2	44.41	330	0.9	51	6.7	47	20.2	22	6.16	273.1
GeH079	2013	3	43.76	460	0.95	49	7.2	58	21.8	22	6.16	273.1
GeH081	2013	1	41.25	390	0.89	51	6.5	57	21.6	25	6.16	273.1
GeH081	2013	2	43.12	370	0.86	49	6	61	19.9	22	6.16	273.1
GeH081	2013	3	41.98	370	0.85	49	6.7	50	20.2	22	6.16	273.1
GeH007	2013	1	44.13	520	0.87	53	7	55	19.6	25	6.16	273.1
GeH082	2013	1	54.46	520	1.01	51	8.1	52	18.6	25	6.16	273.1
GeH082	2013	2	52.96	495	0.99	49	7	58	18.6	22	6.16	273.1
GeH082	2013	3	54.55	590	1.08	51	7.9	48	19.8	25	6.16	273.1
GeH083	2013	1	54.96	410	0.74	49	5.8	40	13.5	22	6.16	273.1
GeH083	2013	2	52.09	390	0.57	49	4.6	56	11	22	6.16	273.1
GeH083	2013	3	52.44	450	0.67	49	5.3	48	12.7	22	6.16	273.1
GeH085	2013	1	51.67	530	1.05	49	8	68	20.3	25	6.16	273.1
GeH085	2013	2	50.17	590	0.87	46	6.1	63	17.3	22	6.16	273.1
GeH085	2013	3	52.47	510	1.04	49	8.8	53	19.8	22	6.16	273.1
GeH087	2013	1	44.62	360	0.76	49	6.1	50	17.1	22	6.16	273.1
GeH001	2013	2	54.66	740	1.2	51	8.7	64	21.9	25	6.16	273.1
GeH007	2013	2	44.42	682	0.96	51	7.8	66	21.5	25	6.16	273.1
GeH087	2013	2	44.93	380	0.65	46	5.3	54	14.4	22	6.16	273.1
GeH087	2013	3	40.3	340	0.54	49	5.2	46	13.5	22	6.16	273.1
GeH089	2013	1	48.38	650	0.75	49	5.7	51	15.4	22	6.16	273.1
GeH089	2013	2	54.61	590	0.98	46	7	68	18	22	6.16	273.1
GeH089	2013	3	52.34	570	0.92	49	6.6	45	17.5	22	6.16	273.1
GeH090	2013	1	47.08	430	0.81	49	6.5	54	17.1	22	6.16	273.1
GeH090	2013	2	51.42	570	0.91	46	6.2	52	17.6	22	6.16	273.1
GeH090	2013	3	49.66	470	0.87	46	6.4	46	17.5	22	6.16	273.1
GeH091	2013	1	49.86	430	0.7	46	5.2	45	14	20	6.16	273.1
GeH091	2013	2	50.95	460	0.75	44	6	52	14.7	20	6.16	273.1
GeH007	2013	3	43.81	650	0.92	53	7.8	60	21	25	6.16	273.1
GeH091	2013	3	51.01	450	0.7	44	5.2	52	13.8	20	6.16	273.1
GeH092	2013	1	50.46	560	1.21	53	9.3	58	24	25	6.16	273.1
GeH092	2013	2	52.22	560	1.18	51	9	60	22.5	22	6.16	273.1
GeH092	2013	3	51.99	610	1.12	53	8.7	60	21.6	25	6.16	273.1
GeH093	2013	1	47.87	350	0.68	49	6	57	14.1	22	6.16	273.1
GeH093	2013	2	43.25	490	0.71	46	5.9	49	16.3	22	6.16	273.1
GeH093	2013	3	44.59	420	0.65	46	5.4	50	14.6	22	6.16	273.1
GeH094	2013	1	45.74	550	0.62	49	5	47	13.6	22	6.16	273.1
GeH094	2013	2	50.14	550	0.71	46	5.6	60	14.2	22	6.16	273.1
GeH094	2013	3	45.93	600	0.67	46	5.1	52	14.5	22	6.16	273.1
GeH009	2013	1	45.77	440	1.02	49	7	63	22.2	22	6.16	273.1
GeH096	2013	1	54.17	680	1.27	53	9.9	70	23.5	25	6.16	273.1
GeH096	2013	2	52.18	780	1.29	51	9.8	67	24.8	25	6.16	273.1
GeH096	2013	3	52.14	530	1.19	51	9	70	22.9	25	6.16	273.1
GeH098	2013	1	49.47	680	0.94	49	6.9	53	18.9	22	6.16	273.1
GeH098	2013	2	47.09	560	0.86	49	6.1	59	18.2	22	6.16	273.1
GeH098	2013	3	46.93	540	0.77	46	5.9	54	16.3	22	6.16	273.1
GeH101	2013	1	49.87	520	0.76	49	5.6	52	15.3	22	6.16	273.1
GeH101	2013	2	46.19	590	0.68	46	5.5	62	14.7	22	6.16	273.1
GeH101	2013	3	50.63	670	0.8	46	5.9	65	15.8	22	6.16	273.1
GeH103	2013	1	45.52	528	0.66	49	5	46	14.5	22	6.16	273.1
GeH009	2013	2	46.57	515	0.8	46	6	67	17.2	22	6.16	273.1
GeH103	2013	2	48.36	450	0.8	49	6.3	47	16.5	22	6.16	273.1
GeH103	2013	3	46.42	490	0.75	49	6.4	53	16.2	22	6.16	273.1
GeH104	2013	1	48.01	440	0.89	51	7.7	50	18.6	25	6.16	273.1
GeH104	2013	2	48.23	520	0.93	51	7.2	63	19.2	25	6.16	273.1
GeH104	2013	3	52.98	580	0.96	51	7.5	52	18.1	25	6.16	273.1
GeH106	2013	1	57.64	430	1.03	53	7.8	58	17.8	25	6.16	273.1
GeH106	2013	2	52.22	500	0.83	53	7.5	53	15.8	25	6.16	273.1
GeH106	2013	3	58.9	530	1.07	53	8	60	18.2	25	6.16	273.1
GeH107	2013	1	48.83	520	0.88	49	6.6	57	18	22	6.16	273.1
GeH107	2013	2	50.93	480	0.83	49	6.3	53	16.2	22	6.16	273.1
GeH009	2013	3	43.81	418	0.75	46	6.1	52	17.22	22	6.16	273.1
GeH107	2013	3	50.07	460	0.67	49	5.7	46	13.4	22	6.16	273.1
GeH108	2013	1	49.39	660	1.05	53	7.5	50	21.2	25	6.16	273.1
GeH108	2013	2	52.57	672	1.15	53	7.9	60	21.8	25	6.16	273.1
GeH108	2013	3	51.56	690	1.25	51	8.7	55	24.3	25	6.16	273.1
GeH109	2013	1	42.68	490	0.65	49	5.3	54	15.3	22	6.16	273.1
GeH109	2013	2	43.55	460	0.68	46	5.2	52	15.5	22	6.16	273.1
GeH109	2013	3	47.25	510	0.79	46	5.5	60	16.7	22	6.16	273.1
GeH110	2013	1	47.52	450	0.78	49	6.2	48	16.5	22	6.16	273.1
GeH110	2013	2	48.18	350	0.82	51	6.7	40	17	22	6.16	273.1
GeH110	2013	3	44.91	390	0.75	49	6.6	44	16.7	22	6.16	273.1
GeH010	2013	1	51.3	520	1.1	49	7.8	69	21.5	22	6.16	273.1
GeH112	2013	1	48.31	460	0.74	51	5.8	47	15.4	22	6.16	273.1
GeH112	2013	2	49.57	470	0.7	49	5.6	56	14.1	22	6.16	273.1
GeH112	2013	3	49.32	440	0.58	51	4.8	47	11.8	25	6.16	273.1
GeH113	2013	1	45.6	470	0.68	49	6.9	57	15	22	6.16	273.1
GeH113	2013	2	49.65	360	0.71	49	6.5	52	14.2	22	6.16	273.1
GeH113	2013	3	47.68	370	0.72	51	7.2	50	15.1	22	6.16	273.1
GeH114	2013	1	51.41	440	0.95	51	7.1	58	18.4	25	6.16	273.1
GeH114	2013	2	54.35	450	0.88	49	7.1	53	16.1	22	6.16	273.1
GeH114	2013	3	49.69	450	0.79	51	6	56	15.9	25	6.16	273.1
GeH115	2013	1	45.92	710	0.97	51	8.4	63	21.1	25	6.16	273.1
GeH010	2013	2	45.11	480	0.82	46	6.2	68	18.2	22	6.16	273.1
GeH115	2013	2	48.33	810	1.04	51	9.1	60	21.6	25	6.16	273.1
GeH115	2013	3	46.52	700	0.95	51	8	55	20.4	25	6.16	273.1
GeH116	2013	1	47.68	600	0.74	49	5.6	52	15.5	22	6.16	273.1
GeH116	2013	2	50.39	655	0.78	46	5.1	56	15.5	22	6.16	273.1
GeH116	2013	3	52.66	580	0.83	49	6.2	45	15.8	22	6.16	273.1
GeH117	2013	1	43.35	540	0.89	49	7.2	52	20.6	22	6.16	273.1
GeH117	2013	2	43.24	520	0.85	49	7.3	57	19.6	22	6.16	273.1
GeH117	2013	3	42.76	520	0.73	49	6.7	54	17	25	6.16	273.1
GeH118	2013	1	51.93	410	0.89	51	6.6	55	17.1	25	6.16	273.1
GeH118	2013	2	49.51	460	0.81	49	6.5	54	16.4	22	6.16	273.1
GeH010	2013	3	47.88	500	0.92	49	7	62	19.3	22	6.16	273.1
GeH118	2013	3	52.46	420	0.96	51	7.7	58	18.3	25	6.16	273.1
GeH119	2013	1	47.33	450	0.85	49	6.9	45	18	22	6.16	273.1
GeH119	2013	2	46.71	480	0.79	49	5.7	50	17	22	6.16	273.1
GeH119	2013	3	46.08	540	0.81	46	6.4	55	17.6	20	6.16	273.1
GeH120	2013	1	59.64	380	0.98	51	7.7	61	16.5	25	6.16	273.1
GeH120	2013	2	56.64	480	0.9	51	7	56	15.9	25	6.16	273.1
GeH120	2013	3	57.54	470	0.96	51	7.8	56	16.7	25	6.16	273.1
GeH121	2013	1	44.1	510	0.73	46	6	50	16.6	22	6.16	273.1
GeH121	2013	2	45.75	490	0.52	44	5	50	11.3	20	6.16	273.1
GeH121	2013	3	47.3	420	0.67	44	5.3	46	14.1	20	6.16	273.1
GeH011	2013	1	53.3	710	1.05	51	8.1	55	19.7	25	6.16	273.1
GeH122	2013	1	42.97	460	0.83	51	6.9	55	19.2	25	6.16	273.1
GeH122	2013	2	43.63	380	0.89	51	7.7	41	20.4	22	6.16	273.1
GeH122	2013	3	47.17	400	0.87	49	6.9	45	18.4	22	6.16	273.1
GeH123	2013	1	47.87	500	0.74	49	6	47	15.5	22	6.16	273.1
GeH123	2013	2	49.53	480	0.63	46	5.1	53	12.8	22	6.16	273.1
GeH123	2013	3	50.14	520	0.7	46	5.9	52	13.9	22	6.16	273.1
GeH125	2013	1	54.95	570	1	53	7.8	62	18.2	25	6.16	273.1
GeH125	2013	2	53.56	450	0.96	51	7.3	53	18	22	6.16	273.1
GeH125	2013	3	54.85	490	0.91	53	6.9	50	16.5	25	6.16	273.1
GeH126	2013	1	53.69	660	0.96	51	7.8	41	17.9	25	6.16	273.1
GeH011	2013	2	54.14	790	1.03	49	7.1	66	19.1	22	6.16	273.1
GeH126	2013	2	55.84	610	0.86	49	6.3	50	15.4	22	6.16	273.1
GeH126	2013	3	52.41	730	1.02	49	7.6	51	19.5	22	6.16	273.1
GeH127	2013	1	53.71	590	1.1	53	9	63	20.5	28	6.16	273.1
GeH127	2013	2	50.81	480	1.07	53	8	52	21.1	25	6.16	273.1
GeH127	2013	3	54.68	540	1.21	53	8	51	22.2	25	6.16	273.1
GeH128	2013	1	43.24	440	0.59	46	5.8	46	13.6	20	6.16	273.1
GeH128	2013	2	45.3	400	0.45	46	4.4	43	10	22	6.16	273.1
GeH128	2013	3	41.78	470	0.49	44	4.2	50	11.8	20	6.16	273.1
GeH129	2013	1	48.08	470	0.83	51	6.2	47	17.2	25	6.16	273.1
GeH129	2013	2	45.71	400	0.64	49	5.5	44	14	22	6.16	273.1
GeH001	2013	3	52.51	620	1.07	51	8.1	50	20.3	25	6.16	273.1
GeH011	2013	3	52.33	740	1.08	49	7.5	60	20.6	22	6.16	273.1
GeH129	2013	3	47.77	390	0.71	49	5.8	47	14.8	22	6.16	273.1
Georgie	2013	1	54.74	700	1.14	53	7.7	57	20.9	25	6.16	273.1
Georgie	2013	2	52.44	880	1.25	51	9	65	23.8	25	6.16	273.1
Georgie	2013	3	49.87	750	1.12	51	8.5	54	22.4	25	6.16	273.1
Harmal	2013	1	49.32	260	0.58	44	5.6	45	11.8	20	6.16	273.1
Harmal	2013	2	41.81	270	0.49	44	4.6	52	11.6	20	6.16	273.1
Harmal	2013	3	51.09	370	0.89	44	7	45	17.4	20	6.16	273.1
GeH012	2013	1	55.23	750	1.09	51	7	55	19.7	28	6.16	273.1
GeH012	2013	2	51.93	590	0.86	51	6	48	16.6	24	6.16	273.1
GeH012	2013	3	53.56	730	1.04	49	6.8	58	19.4	22	6.16	273.1
GeH013	2013	1	53.97	520	0.97	51	6.8	49	17.9	25	6.16	273.1
GeH013	2013	2	54.11	490	0.7	51	6.4	48	12.9	25	6.16	273.1
GeH013	2013	3	58.72	580	0.83	51	6.7	56	14.1	25	6.16	273.1
GeH016	2013	1	47.17	510	0.85	49	6.4	57	18	25	6.16	273.1
GeH016	2013	2	47.85	588	0.89	46	6.6	53	18.6	22	6.16	273.1
GeH016	2013	3	45.96	590	0.84	46	6.6	55	18.3	22	6.16	273.1
GeH002	2013	1	49.2	530	0.99	51	7.6	60	20.1	25	6.16	273.1
GeH017	2013	1	51	460	0.77	46	5.5	43	15	20	6.16	273.1
GeH017	2013	2	51.03	680	0.79	46	5.2	57	15.5	22	6.16	273.1
GeH017	2013	3	52.79	660	0.64	46	5.1	53	12.2	22	6.16	273.1
GeH018	2013	1	57.56	670	1.23	51	8.7	75	21.3	25	6.16	273.1
GeH018	2013	2	54.35	770	1.21	51	8.6	78	22.3	25	6.16	273.1
GeH018	2013	3	52.99	710	1.17	53	8.6	67	22.1	25	6.16	273.1
GeH019	2013	1	46.18	530	1.04	53	8.2	50	22.5	25	6.16	273.1
GeH019	2013	2	46.48	480	0.9	51	7.8	52	19.3	25	6.16	273.1
GeH019	2013	3	45	450	0.97	51	7.7	55	21.6	25	6.16	273.1
GeH020	2013	1	49.12	510	0.89	49	7	77	18.2	22	6.16	273.1
GeH002	2013	2	51.76	490	0.82	51	6.2	51	15.9	25	6.16	273.1
GeH020	2013	2	49.95	620	1.05	51	8.3	70	21	25	6.16	273.1
GeH020	2013	3	47.71	540	1	51	7.8	70	21	25	6.16	273.1
GeH021	2013	1	45.32	620	0.98	53	7.7	45	21.6	25	6.16	273.1
GeH021	2013	2	48.15	590	1.17	51	9	69	24.3	25	6.16	273.1
GeH021	2013	3	47.09	560	1.05	53	8.5	50	22.3	25	6.16	273.1
GeH022	2013	1	48.12	460	0.95	53	7.5	55	19.7	25	6.16	273.1
GeH022	2013	2	49.91	550	1.07	51	8.4	63	21.5	25	6.16	273.1
GeH022	2013	3	47.93	520	0.83	53	6.9	60	17.4	25	6.16	273.1
GeH023	2013	1	43.07	450	0.83	49	6.8	54	19.2	22	6.16	273.1
GeH023	2013	2	44.1	510	0.81	46	5.9	43	18.3	22	6.16	273.1
GeH002	2013	3	50.13	580	0.78	49	5.9	55	15.6	22	6.16	273.1
GeH023	2013	3	44.69	420	0.8	49	6.2	44	17.9	22	6.16	273.1
GeH024	2013	1	54.4	580	0.99	49	7.9	66	18.2	22	6.16	273.1
GeH024	2013	2	52.66	560	0.93	51	7	52	17.7	25	6.16	273.1
GeH024	2013	3	51.78	620	0.93	49	7.2	67	18	22	6.16	273.1
GeH025	2013	1	48.27	420	0.92	51	7.1	50	19.1	25	6.16	273.1
GeH025	2013	2	53.37	460	1.11	51	7.2	48	20.8	25	6.16	273.1
GeH025	2013	3	50.54	440	1.03	49	7.5	48	20.4	22	6.16	273.1
GeH026	2013	1	54.76	660	0.92	46	6.4	51	16.8	22	6.16	273.1
GeH026	2013	2	54.2	560	0.95	49	6.8	45	17.6	22	6.16	273.1
GeH026	2013	3	53.65	510	0.74	49	5.2	42	13.7	22	6.16	273.1
GeH003	2013	1	53.71	670	1.06	49	7.7	74	19.7	22	6.16	273.1
GeH027	2013	1	50.24	630	1.05	49	7.8	62	20.8	25	6.16	273.1
GeH027	2013	2	53.55	650	1.09	49	8.1	63	20.3	22	6.16	273.1
GeH027	2013	3	52.11	560	1.06	49	7.8	60	20.4	25	6.16	273.1
GeH028	2013	1	40.17	505	0.71	51	6.7	49	17.7	25	6.16	273.1
GeH028	2013	2	43.72	510	0.8	51	7	48	18.3	25	6.16	273.1
GeH028	2013	3	40.56	440	0.72	51	6.9	50	17.8	25	6.16	273.1
GeH029	2013	1	54.13	740	1.22	53	8.2	70	22.5	25	6.16	273.1
GeH029	2013	2	50.9	650	1.07	51	8	78	21.1	25	6.16	273.1
GeH029	2013	3	50.5	640	1.1	51	8	75	21.8	25	6.16	273.1
GeH031	2013	1	54.12	565	0.96	51	7	53	17.7	25	6.16	273.1
GeH003	2013	2	51.59	640	1.17	49	8.6	65	22.7	22	6.16	273.1
GeH031	2013	2	52.34	510	0.87	51	6.8	49	16.7	25	6.16	273.1
GeH031	2013	3	51.59	480	0.88	49	6.9	53	17	22	6.16	273.1
GeH032	2013	1	52.79	450	0.91	49	6	56	17.2	22	6.16	273.1
GeH032	2013	2	53.97	410	0.68	49	4.6	42	12.6	22	6.16	273.1
GeH032	2013	3	51.53	550	0.77	46	5.3	50	15	22	6.16	273.1
GeH033	2013	1	47.89	705	0.89	49	6.4	56	18.5	25	6.16	273.1
GeH033	2013	2	50.6	635	1.01	46	7	60	19.9	22	6.16	273.1
GeH033	2013	3	50.85	600	1.02	49	7.1	54	20	22	6.16	273.1
GeH034	2013	1	46.54	490	0.73	49	6.5	45	15.6	22	6.16	273.1
GeH034	2013	2	45.54	570	0.8	46	6	53	17.5	22	6.16	273.1
GeH003	2013	3	55.93	510	1.11	51	8.1	68	19.9	25	6.16	273.1
GeH034	2013	3	43.38	580	0.64	46	5	50	14.8	22	6.16	273.1
GeH036	2013	1	54.68	480	0.94	51	6.8	53	17.1	28	6.16	273.1
GeH036	2013	2	52.65	410	0.8	51	6.5	48	15.1	25	6.16	273.1
GeH036	2013	3	54.14	440	0.88	51	7.5	47	16.2	25	6.16	273.1
GeH039	2013	1	56.44	560	1.22	51	9.3	66	21.6	25	6.16	273.1
GeH039	2013	2	52.4	510	1.18	51	8.7	70	22.5	25	6.16	273.1
GeH039	2013	3	54.15	570	1.05	51	8.6	70	19.3	25	6.16	273.1
GeH040	2013	1	48.34	700	0.73	51	6	47	15.1	22	6.16	273.1
GeH040	2013	2	49.82	840	0.84	49	6.1	60	16.8	22	6.16	273.1
GeH040	2013	3	48.15	750	0.81	51	6.6	54	16.8	25	6.16	273.1
